book_number,book_name,question1,answer1a,answer1b,answer1c,correct_answer1,question2,answer2a,answer2b,answer2c,correct_answer2,question3,answer3a,answer3b,answer3c,correct_answer3
1,troll,¿Por qué el troll decidió dejar ir a Juan durante su primer encuentro en el puente?,Porque aceptó las piedras de carbón que Juan le ofreció.,Porque Juan le prometió que su hermana vendría más tarde.,Porque Juan le dijo que todavía era muy chiquito para ser comido.,c,"Cuando Juan tenía quince años y se encontró nuevamente con el troll estando con Lucía, ¿cuál fue su reacción?",Le pidió al troll que se comiera a su novia con tal de salvarse él.,Intentó defender valientemente a Lucía enfrentándose a la criatura.,Convenció al troll de que los dejara pasar a cambio de contarle sobre sus viajes por Europa.,a,¿Qué le sucede a Juan al final de la historia después de que el troll se come su alma?,Se queda triste debido al ataque del monstruo bajo el puente.,Se transforma en el nuevo troll.,Regresa a su casa arrepentido para intentar recuperar a su esposa y a su hijo.,b
2,mundo,"¿Por qué la máquina se negó inicialmente a cumplir la orden de fabricar ""nafta"" cuando el ingeniero García se lo pidió?",Porque la máquina no tenía los componentes necesarios para crear sustancias líquidas complejas.,Porque la aclaración que le dio García sobre qué era la nafta utilizaba una palabra que no empezaba con la letra N.,Porque el ingeniero López interrumpió el proceso antes de que la máquina pudiera terminar la tarea.,b,"¿Qué sucedió cuando el ingeniero López, intentando ganar la competencia, le ordenó a la máquina que hiciera ""nada""?","La máquina comenzó a eliminar objetos, personas y partes del mundo real.","La máquina se quedó inmóvil y en silencio, dándole la victoria a López.",La máquina generó un vacío oscuro dentro de la habitación que asustó a los científicos.,a,"Según el final del relato, ¿por qué la máquina no pudo restaurar la casa ni el resto de las cosas desaparecidas?","Porque las cosas que habían desaparecido, como la casa, no tenían nombres que comenzaran con la letra N.","Porque la energía de la máquina se había agotado completamente tras crear la ""Nada"".",Porque el ingeniero García decidió dejar el mundo así como lección para su colega López.,a
3,adan y eva,¿Qué sensación particular experimentó el hombre después de volver a la cama tras ahuyentar a los perros?,Sintió un alivio inmediato y se quedó profundamente dormido.,Percibió un silencio tenso en la casa y le pareció que el colchón vibraba.,Escuchó que los perros comenzaban a pelear con un gato en el patio.,b,¿Qué comportamiento inusual presentaron el postigo y el gallo según el relato?,El póstigo estaba atascado y el gallo se escapó del gallinero.,El postigo se había roto por la tormenta y el gallo no cantó al amanecer.,El postigo golpeaba sin haber viento y el gallo no paraba de cantar.,c,"Al final de la historia, ¿qué notó la mujer al observar la risa de su marido?",Que el hombre estaba feliz porque finalmente había amanecido.,Que se reía de una broma que ella no había entendido.,"Que a pesar de la risa ruidosa, sus músculos estaban tensos y no parecía feliz.",c
4,yoli,¿Cuál es la respuesta inicial de Yoli ante la propuesta del rey intergaláctico de llevarla a su planeta?,"Rechaza la oferta, explicando que está felizmente casada con Ernesto desde hace cuarenta años y prefiere quedarse en la Tierra.","Acepta de inmediato, emocionada por la posibilidad de ser una reina y viajar por el espacio.",Se esconde de las cámaras y niega ser la persona que el extraterrestre está buscando.,a,¿Qué ocurre cuando la nave del rey finalmente aterriza y él reclama la presencia de Yoli?,Yoli corre inmediatamente hacia la nave para evitar que el rey cumpla su amenaza de destruir el mundo.,El ejército impide que Yoli se acerque a la nave y comienzan a disparar contra el alienígena.,Yoli lo hace esperar y luego se reúnen en un café cercano.,c,"Según lo revelado por una amiga de Yoli al final del cuento, ¿cuál fue el verdadero motivo por el que ella decidió irse con el extraterrestre?","Porque se sacrificó heroicamente para salvar a la humanidad, aunque amaba profundamente a su esposo.",Porque sentía que su matrimonio se había vuelto una rutina y encontró algo en el rey que le encantaba.,Porque el gobierno la obligó a subir a la nave bajo amenaza de prisión si no colaboraba.,b
5,oro,¿Qué deseo le pidió el rey Pablo al dios que apareció en su palacio?,Que su hija Irene fuera la persona más rica del reino para siempre.,Que todo lo que él tocara se convirtiera inmediatamente en oro.,Que las flores de su jardín nunca se marchitaran y fueran eternas.,b,¿Qué terrible accidente ocurrió cuando la hija del rey intentó consolarlo durante el desayuno?,"El rey, al intentar apartarla, la tocó y la convirtió en una estatua de oro.",La niña se pinchó con una de las rosas de oro y cayó en un sueño profundo.,"El rey, furioso por no poder comer, echó a su hija del comedor para estar solo.",a,¿Qué debió hacer el rey Pablo para romper el hechizo y recuperar a su hija?,Tuvo que renunciar a su trono y vivir como un campesino el resto de su vida.,Tuvo que esperar a que el dios regresara para pedirle un nuevo deseo.,Tuvo que buscar agua del río y mojar con ella a su hija y a los objetos afectados.,c
6,libros,¿Qué sucedió con la primera novela que Simón Acosta escribió en papel antes de casarse con Luisa?,Fue publicada por una editorial importante y se convirtió en un éxito de ventas.,"Fue rechazada por todos los editores, quienes le dijeron que era horrible.",Nunca llegó a terminarla porque decidió comenzar a escribir solo en su mente.,b,¿Cuál fue el motivo por el que Acosta decidió dejar de escribir físicamente sus libros el día que nació su hijo?,Porque sintió mucho aburrimiento al darse cuenta de que ya se sabía el libro de memoria.,Porque el ruido de la máquina de escribir despertaba al bebé y molestaba a su esposa.,Porque consideró que sus historias eran demasiado complejas para ser escritas.,a,"Al final del cuento, ¿qué le ocurre a Facundo cuando decide mentirle a su madre sobre el cementerio?",Se descubre a sí mismo creando una ficción en su mente.,Decide escribir en un cuaderno la historia de sus padres para que no se pierda.,Se siente culpable por no haberle dicho la verdad sobre dónde estaba enterrado su padre.,a
7,camilo,¿Qué contaba Lorenzo sobre sus primeros días de clases cuando regresaba a casa?,Que la maestra le había enseñado muchas cosas nuevas y tenía mucha tarea.,Que se sentía muy solo porque nadie quería jugar con él en el recreo.,Que un compañero llamado Camilo se portaba mal y vivía en penitencia.,c,¿Cómo afectaron las historias sobre Camilo a la vida cotidiana de la familia de Lorenzo?,Los padres decidieron hablar con la directora inmediatamente para expulsar al niño problemático.,El comportamiento de Camilo se volvió un tema recurrente y usaban su nombre para describir sus propios errores domésticos.,Mariana le prohibió a Lorenzo que se juntara con Camilo para evitar que aprendiera malas palabras.,b,¿Qué descubrió Mariana al hablar con la maestra durante la reunión de padres?,Que Camilo era el hijo de la directora y por eso hacía lo que quería.,Que Camilo se había mudado de escuela justo antes de la reunión.,Que no existía ningún alumno llamado Camilo.,c
8,felicidad,"¿Por qué Verónica sentía rechazo hacia Sandra, la hija del dueño de la librería?",Porque Sandra le tenía envidia a Verónica por ser la mejor alumna de la clase y siempre la molestaba.,Porque Sandra siempre le regalaba diccionarios usados en lugar de libros de cuentos.,"Porque a pesar de tener acceso a todos los libros, Sandra odiaba leer y no se los prestaba a nadie.",c,"¿Qué hacía Sandra cada vez que Verónica iba a su casa a buscar el libro ""Corazón de vidrio""?","Le decía que volviera al día siguiente, mintiendo con que ya se lo había prestado a otra chica.",Le exigía que le trajera caramelos a cambio de prestarle el libro por unas horas.,Se escondía en su habitación y hacía que sus padres le dijeran a Verónica que no estaba.,a,"Una vez que Verónica finalmente consiguió el libro y se lo llevó a su casa, ¿cómo lo leyó?",Lo leyó todo en una sola noche para no perder ni un segundo de la historia.,No pudo leerlo porque se sintió culpable por la discusión entre Sandra y su madre.,"Lo leía de a poco y a veces lo escondía, fingiendo no tenerlo para aumentar la felicidad de poseerlo.",c
9,diablo,¿Qué condición debía cumplir el hombre para conservar su riqueza y quedar libre del pacto?,Lograr esconderse del Diablo durante un plazo de veinte años.,Adivinar la edad exacta del Diablo antes de que terminara el plazo.,Viajar por todo el mundo entrevistando a los sabios de Europa y Asia.,b,¿Cómo reaccionó el hombre ante su nueva vida de lujos tras firmar el pacto?,"Se acostumbró rápidamente a la riqueza y pronto olvidó el compromiso que tenía. ",Sintió mucha nostalgia por su antiguo rancho y sus alpargatas.,Pasó los veinte años estudiando para intentar descubrir el secreto del Diablo.,a,¿De qué manera logró el hombre obtener la información necesaria para vencer al Diablo?,Consultó un papel antiguo que tenía guardado en el cajón de su mesa de luz.,"Su esposa se disfrazó de un ave exótica para engañar al Diablo y hacerlo confesar. ",Los sabios de México y Bolivia le revelaron el número exacto tras una larga búsqueda.,b
10,pintor,¿Qué solía pedir el maestro Esteban a cambio de sus pinturas durante sus viajes por el reino?,Telas y pinceles nuevos para seguir trabajando.,Platos de arroz para él y su discípulo.,Monedas de plata y oro.,a,¿Cuál fue el motivo por el cual el emperador decidió castigar a Esteban?,Porque Esteban se negó a pintar un retrato de la familia imperial.,Porque el emperador sentía que la realidad era menos bella que las pinturas del maestro.,Porque el pintor había robado un lienzo inconcluso del palacio hacía muchos años.,b,¿Cómo logra Esteban escapar del castigo impuesto por el emperador?,Aprovecha la distracción de los soldados para huir por las montañas.,"Pinta a su discípulo y un barco en el lienzo, y ambos se marchan navegando por el cuadro.",Convence al emperador de que el mar real es más hermoso que el que acaba de terminar.,b
